@relation RFM-weka.filters.unsupervised.attribute.AddNoise-Clast-P30-S2

@attribute R numeric
@attribute F numeric
@attribute M numeric
@attribute class {poly-kalos,pistos,avevaios,efkairia,adiaforos,palia-eykairia,proin-pistos,proin-kalos}

@data
36,3,1442,poly-kalos
25,3,3397,poly-kalos
19,16,12030,poly-kalos
53,5,3153,poly-kalos
53,3,2443,poly-kalos
10,3,1888,poly-kalos
83,5,2198,poly-kalos
8,9,2648,poly-kalos
86,5,2375,poly-kalos
16,4,3917,poly-kalos
85,3,1192,poly-kalos
111,3,1832,poly-kalos
110,3,1050,poly-kalos
21,9,3916,avevaios
102,4,845,poly-kalos
9,5,2518,poly-kalos
16,3,1053,palia-eykairia
9,5,2600,poly-kalos
61,3,3674,poly-kalos
8,4,2108,poly-kalos
21,6,3044,pistos
92,4,4983,poly-kalos
12,11,6707,poly-kalos
86,3,1566,pistos
6,4,3964,avevaios
74,5,300,pistos
69,3,521,pistos
4,5,298,pistos
1,3,738,pistos
8,3,308,pistos
41,3,685,pistos
0,3,401,pistos
81,3,698,efkairia
53,3,189,pistos
0,3,324,pistos
54,5,740,pistos
60,3,349,poly-kalos
81,5,552,pistos
88,3,622,pistos
0,5,660,proin-pistos
29,3,227,pistos
110,4,61,pistos
32,3,537,adiaforos
1,6,588,pistos
55,4,613,efkairia
0,5,526,avevaios
41,3,303,pistos
85,3,113,pistos
111,3,681,pistos
8,3,741,pistos
109,3,462,pistos
39,3,431,pistos
27,3,303,pistos
88,4,377,proin-pistos
8,3,281,proin-kalos
7,3,399,adiaforos
1,3,408,pistos
15,4,399,adiaforos
15,3,758,proin-pistos
57,4,475,pistos
0,4,662,pistos
19,5,364,proin-pistos
4,4,578,pistos
105,3,429,palia-eykairia
107,3,626,pistos
4,3,576,pistos
76,4,585,pistos
62,5,454,pistos
12,4,489,pistos
11,3,707,avevaios
12,4,534,pistos
19,3,669,pistos
13,7,484,pistos
1,5,408,pistos
0,4,621,adiaforos
39,3,459,pistos
1,4,649,pistos
7,4,621,pistos
11,3,493,pistos
36,4,515,pistos
25,4,735,pistos
10,3,425,adiaforos
60,3,166,pistos
0,5,657,pistos
1,3,453,pistos
1,4,673,proin-kalos
41,4,332,pistos
1,3,611,proin-pistos
1,3,9,pistos
107,3,239,proin-pistos
74,3,234,pistos
10,4,640,pistos
93,7,535,pistos
15,5,571,pistos
46,5,703,poly-kalos
91,4,478,pistos
81,3,559,pistos
28,7,263,pistos
43,3,131,pistos
103,3,458,pistos
19,5,286,pistos
26,3,419,pistos
23,3,114,pistos
10,4,238,pistos
1,3,590,pistos
74,3,378,pistos
4,5,753,avevaios
25,5,356,adiaforos
13,5,729,pistos
43,5,451,proin-kalos
18,3,719,adiaforos
72,3,562,pistos
85,3,494,poly-kalos
110,3,538,avevaios
7,6,746,pistos
18,9,587,pistos
75,3,614,pistos
57,3,385,pistos
96,3,76,pistos
55,8,658,pistos
41,4,426,pistos
60,3,642,poly-kalos
83,3,433,pistos
112,3,37,pistos
74,4,189,proin-kalos
93,8,658,proin-pistos
13,3,585,pistos
25,3,597,proin-pistos
23,4,303,pistos
97,5,595,pistos
4,3,721,pistos
10,4,536,adiaforos
7,4,618,efkairia
67,3,298,pistos
7,3,353,adiaforos
29,3,577,pistos
81,2,487,avevaios
13,1,284,avevaios
39,2,113,avevaios
19,1,118,avevaios
103,1,130,avevaios
47,1,160,poly-kalos
13,1,124,avevaios
93,2,101,adiaforos
67,1,88,avevaios
0,1,403,avevaios
46,2,670,avevaios
35,1,105,avevaios
54,1,378,proin-kalos
12,1,191,efkairia
18,1,15,adiaforos
88,1,718,proin-kalos
54,2,269,poly-kalos
25,2,534,proin-pistos
8,1,73,adiaforos
104,1,37,avevaios
9,1,105,avevaios
13,1,182,avevaios
18,1,106,avevaios
9,2,641,avevaios
26,1,160,avevaios
32,1,42,avevaios
1,1,116,palia-eykairia
54,1,50,poly-kalos
43,1,252,avevaios
85,2,0,proin-kalos
105,1,64,efkairia
10,1,46,avevaios
19,1,79,avevaios
47,1,210,avevaios
1,1,49,avevaios
103,2,529,avevaios
12,1,291,avevaios
4,2,434,poly-kalos
95,1,0,avevaios
75,1,268,avevaios
109,1,328,proin-kalos
7,2,565,avevaios
53,1,63,avevaios
