UserID,R,F,M
11301,172,3,1008.43005
11302,187,2,247.9
11307,99,1,826.89
11308,81,2,386.55
11322,44,9,6524.381
11333,1,13,2463.0198
11343,33,8,1850.01
11360,0,22,7127.3
11368,1,3,610.92
11418,1,3,8.830002
11419,320,1,306.72
11429,53,7,2727.7297
11434,8,11,2111.3499
11444,148,1,54.62
11450,124,2,307.56
11460,159,1,115.55
11482,208,5,1310.92
11515,8,1,50
11518,82,1,121.850006
11527,171,1,134.51999
11529,151,1,499.16
11558,340,1,118.49
11559,43,5,5232.35
11560,144,1,157.56
11576,125,3,104.87
11589,123,1,69.33
11613,215,5,4779.8203
11623,2,12,4159.66
11636,8,1,411.76
11643,274,1,210.07999
11653,11,2,1159.6699
11661,172,1,45.38
11680,130,1,589.38
11681,180,1,80.67
11682,230,1,-105.04
11691,116,1,109.24
11692,41,2,390.76
11699,349,1,214.29
11709,23,3,1039.5
11718,340,1,350.42
